"marked","head_id","tail_id","id","head","tail","relation"
"待我告诉你：当日<head>宁国公</head>与<tail>荣国公</tail>是一母同胞弟兄两个．","id_291","id_290",381.0,"贾演","贾源","elder_brother"
"待我告诉你：当日<head>宁国公</head>与<tail>荣国公</tail>是一母同胞弟兄两个．","id_291","id_290",381.0,"贾演","贾源","brother"
"宁公死后，<tail>贾代化</tail>袭了官，也养了两个儿子：长名<head>贾敷</head>，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．","id_287","id_273",383.0,"贾敷","贾代化","son"
"宁公死后，<tail>贾代化</tail>袭了官，也养了两个儿子：长名<head>贾敷</head>，至八九岁上便死了，只剩了次子贾敬袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．","id_287","id_273",383.0,"贾敷","贾代化","nephew"
"宁公死后，<tail>贾代化</tail>袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子<head>贾敬</head>袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．","id_286","id_273",383.0,"贾敬","贾代化","son"
"宁公死后，<tail>贾代化</tail>袭了官，也养了两个儿子：长名贾敷，至八九岁上便死了，只剩了次子<head>贾敬</head>袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．","id_286","id_273",383.0,"贾敬","贾代化","nephew"
"宁公死后，贾代化袭了官，也养了两个儿子：长名<head>贾敷</head>，至八九岁上便死了，只剩了次子<tail>贾敬</tail>袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．","id_287","id_286",383.0,"贾敷","贾敬","brother"
"宁公死后，贾代化袭了官，也养了两个儿子：长名<tail>贾敷</tail>，至八九岁上便死了，只剩了次子<head>贾敬</head>袭了官，如今一味好道，只爱烧丹炼汞，余者一概不在心上．","id_286","id_287",383.0,"贾敬","贾敷","brother"
"这位<tail>珍爷</tail>倒生了一个儿子，今年才十六岁，名叫<head>贾蓉</head>．","id_305","id_294",386.0,"贾蓉","贾珍","son"
"这位<tail>珍爷</tail>倒生了一个儿子，今年才十六岁，名叫<head>贾蓉</head>．","id_305","id_294",386.0,"贾蓉","贾珍","nephew"
"自荣公死后，长子<head>贾代善</head>袭了官，娶的也是金陵世勋<tail>史侯</tail>家的小姐为妻，生了两个儿子：长子贾赦，次子贾政．","id_274","id_52",390.0,"贾代善","史侯","son_in_law"
"自荣公死后，长子<tail>贾代善</tail>袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子<head>贾赦</head>，次子贾政．","id_307","id_274",390.0,"贾赦","贾代善","son"
"自荣公死后，长子<tail>贾代善</tail>袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子<head>贾赦</head>，次子贾政．","id_307","id_274",390.0,"贾赦","贾代善","nephew"
"自荣公死后，长子<tail>贾代善</tail>袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子<head>贾政</head>．","id_284","id_274",390.0,"贾政","贾代善","son"
"自荣公死后，长子<tail>贾代善</tail>袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子贾赦，次子<head>贾政</head>．","id_284","id_274",390.0,"贾政","贾代善","nephew"
"自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子<head>贾赦</head>，次子<tail>贾政</tail>．","id_307","id_284",390.0,"贾赦","贾政","brother"
"自荣公死后，长子贾代善袭了官，娶的也是金陵世勋史侯家的小姐为妻，生了两个儿子：长子<tail>贾赦</tail>，次子<head>贾政</head>．","id_284","id_307",390.0,"贾政","贾赦","brother"
"如今代善早已去世，太夫人尚在，长子<head>贾赦</head>袭着官，次子<tail>贾政</tail>，自幼酷喜捕潦*，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了．","id_307","id_284",391.0,"贾赦","贾政","brother"
"如今代善早已去世，太夫人尚在，长子<tail>贾赦</tail>袭着官，次子<head>贾政</head>，自幼酷喜捕潦*，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这政老爹一个主事之衔，令其入部习学，如今现已升了员外郎了．","id_284","id_307",391.0,"贾政","贾赦","brother"
"如今代善早已去世，太夫人尚在，长子<head>贾赦</head>袭着官，次子贾政，自幼酷喜捕潦*，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这<tail>政老爹</tail>一个主事之衔，令其入部习学，如今现已升了员外郎了．","id_307","id_284",391.0,"贾赦","贾政","brother"
"如今代善早已去世，太夫人尚在，长子<tail>贾赦</tail>袭着官，次子贾政，自幼酷喜捕潦*，祖父最疼，原欲以科甲出身的，不料代善临终时遗本一上，皇上因恤先臣，即时令长子袭官外，问还有几子，立刻引见，遂额外赐了这<head>政老爹</head>一个主事之衔，令其入部习学，如今现已升了员外郎了．","id_284","id_307",391.0,"贾政","贾赦","brother"
"这<tail>政老爹</tail>的夫人王氏，头胎生的公子，名唤<head>贾珠</head>，十四岁进学，不到二十岁就娶了妻生了子，一病死了．","id_295","id_284",392.0,"贾珠","贾政","son"
"这<tail>政老爹</tail>的夫人王氏，头胎生的公子，名唤<head>贾珠</head>，十四岁进学，不到二十岁就娶了妻生了子，一病死了．","id_295","id_284",392.0,"贾珠","贾政","nephew"
"<tail>政老爹</tail>的长女，名<head>元春</head>，现因贤孝才德，选入宫作女史去了．","id_87","id_284",460.0,"贾元春","贾政","daughter"
"二小姐乃<tail>赦老爹</tail>之妾所出，名<head>迎春</head>，三小姐乃政老爹之庶出，名探春，四小姐乃宁府珍爷之胞妹，名唤惜春．","id_6","id_307",461.0,"贾迎春","贾赦","daughter"
"二小姐乃<head>赦老爹</head>之妾所出，名迎春，三小姐乃<tail>政老爹</tail>之庶出，名探春，四小姐乃宁府珍爷之胞妹，名唤惜春．","id_307","id_284",461.0,"贾赦","贾政","brother"
"二小姐乃<tail>赦老爹</tail>之妾所出，名迎春，三小姐乃<head>政老爹</head>之庶出，名探春，四小姐乃宁府珍爷之胞妹，名唤惜春．","id_284","id_307",461.0,"贾政","贾赦","brother"
"二小姐乃赦老爹之妾所出，名迎春，三小姐乃<tail>政老爹</tail>之庶出，名<head>探春</head>，四小姐乃宁府珍爷之胞妹，名唤惜春．","id_2","id_284",461.0,"贾探春","贾政","daughter"
"二小姐乃赦老爹之妾所出，名迎春，三小姐乃政老爹之庶出，名探春，四小姐乃宁府<head>珍爷</head>之胞妹，名唤<tail>惜春</tail>．","id_294","id_282",461.0,"贾珍","贾惜春","brother"
"现有对证：目今你贵东家林公之夫人，即荣府中赦，<head>政二公</head>之胞妹，在家时名唤<tail>贾敏</tail>．","id_284","id_285",468.0,"贾政","贾敏","brother"
"现有对证：目今你贵东家林公之夫人，即荣府中赦，<tail>政二公</tail>之胞妹，在家时名唤<head>贾敏</head>．","id_285","id_284",468.0,"贾敏","贾政","younger_sister"
"若问那赦公，也有二子，长名<head>贾琏</head>，今已二十来往了，亲上作亲，娶的就是<tail>政老爹</tail>夫人王氏之内侄女，今已娶了二年．","id_296","id_284",481.0,"贾琏","贾政","nephew"
"冷子兴听得此言，便忙献计，令雨村央烦<head>林如海</head>，转向都中去央烦<tail>贾政</tail>．","id_167","id_284",498.0,"林如海","贾政","brother_in_law"
"那女学生<head>黛玉</head>，身体方愈，原不忍弃父而往，无奈他外祖母致意务去，且兼<tail>如海</tail>说：“汝父年将半百，再无续室之意，且汝多病，年又极小，上无亲母教养，下无姊妹兄弟扶持，今依傍外祖母及舅氏姊妹去，正好减我顾盼之忧，何反云不往？'","id_169","id_167",513.0,"林黛玉","林如海","daughter"
"____此即冷子兴所云之史氏太君，<head>贾赦</head><tail>贾政</tail>之母也．","id_307","id_284",547.0,"贾赦","贾政","brother"
"____此即冷子兴所云之史氏太君，<tail>贾赦</tail><head>贾政</head>之母也．","id_284","id_307",547.0,"贾政","贾赦","brother"
"黛玉虽不识，也曾听见母亲说过，大舅<tail>贾赦</tail>之子<head>贾琏</head>，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤．","id_296","id_307",583.0,"贾琏","贾赦","son"
"黛玉虽不识，也曾听见母亲说过，大舅<tail>贾赦</tail>之子<head>贾琏</head>，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名王熙凤．","id_296","id_307",583.0,"贾琏","贾赦","nephew"
"黛玉虽不识，也曾听见母亲说过，大舅<tail>贾赦</tail>之子贾琏，娶的就是二舅母王氏之内侄女，自幼假充男儿教养的，学名<head>王熙凤</head>．","id_32","id_307",583.0,"王熙凤","贾赦","daughter_in_law"
