"marked","head_id","tail_id","id","head","tail","relation"
"我乃<head>李天王</head>二太子<tail>木叉</tail>，南海观音大徒弟惠岸，特来打探军情。”","id_29","id_30",1612.0,"李靖","木吒","father"
"<tail>木叉</tail>道：“吾乃<head>李天王</head>第二太子叉，今在观音菩萨宝座前为徒弟护教，法名惠岸是也。”","id_29","id_30",1631.0,"李靖","木吒","father"
"<head>李天王</head>见了心惊，即命写表求助，便差大力鬼王与<tail>木叉</tail>太子上天启奏。","id_29","id_30",1653.0,"李靖","木吒","father"
"那金山寺<head>长老</head>叫做<tail>法明和尚</tail>，修真悟道，已得无生妙诀。","id_1","id_54",2498.0,"唐僧","法明和尚","apprentice"
"那金山寺<tail>长老</tail>叫做<head>法明和尚</head>，修真悟道，已得无生妙诀。","id_54","id_1",2498.0,"法明和尚","唐僧","master"
"盖因那猴原是<head>弼马温</head>，在天上看养<tail>龙马</tail>的，有些法则，故此凡马见他害怕。","id_6","id_21",4017.0,"孙悟空","白龙马","elder_brother_with_the_same_master"
"盖因那猴原是<tail>弼马温</tail>，在天上看养<head>龙马</head>的，有些法则，故此凡马见他害怕。","id_21","id_6",4017.0,"白龙马","孙悟空","younger_brother_with_the_same_master"
"那伯钦见<head>孙行者</head>一心收拾要行，却转身对<tail>三藏</tail>唱个喏道：“长老，你幸此间收得个好徒，甚喜甚喜，此人果然去得。","id_6","id_1",4028.0,"孙悟空","唐僧","apprentice"
"那伯钦见<tail>孙行者</tail>一心收拾要行，却转身对<head>三藏</head>唱个喏道：“长老，你幸此间收得个好徒，甚喜甚喜，此人果然去得。","id_1","id_6",4028.0,"唐僧","孙悟空","master"
"那伯钦见<head>孙行者</head>一心收拾要行，却转身对三藏唱个喏道：“<tail>长老</tail>，你幸此间收得个好徒，甚喜甚喜，此人果然去得。","id_6","id_1",4028.0,"孙悟空","唐僧","apprentice"
"那伯钦见<tail>孙行者</tail>一心收拾要行，却转身对三藏唱个喏道：“<head>长老</head>，你幸此间收得个好徒，甚喜甚喜，此人果然去得。","id_1","id_6",4028.0,"唐僧","孙悟空","master"
"却说那<head>孙行者</head>请<tail>三藏</tail>上马，他在前边，背着行李，赤条条，拐步而行。","id_6","id_1",4033.0,"孙悟空","唐僧","apprentice"
"却说那<tail>孙行者</tail>请<head>三藏</head>上马，他在前边，背着行李，赤条条，拐步而行。","id_1","id_6",4033.0,"唐僧","孙悟空","master"
"两个前进，<head>长老</head>在马上问道：“<tail>悟空</tail>，你才打虎的铁棒，如何不见？”","id_1","id_6",4054.0,"唐僧","孙悟空","master"
"两个前进，<tail>长老</tail>在马上问道：“<head>悟空</head>，你才打虎的铁棒，如何不见？”","id_6","id_1",4054.0,"孙悟空","唐僧","apprentice"
"<head>悟空</head>将菩萨劝善、令我等待<tail>唐僧</tail>揭贴脱身之事，对那老者细说了一遍。","id_6","id_1",4101.0,"孙悟空","唐僧","apprentice"
"<tail>悟空</tail>将菩萨劝善、令我等待<head>唐僧</head>揭贴脱身之事，对那老者细说了一遍。","id_1","id_6",4101.0,"唐僧","孙悟空","master"
"只因我大<head>唐太宗</head>皇帝赐我做御弟<tail>三藏</tail>，指唐为姓，故名唐僧也。”","id_26","id_1",4120.0,"李世民","唐僧","elder_sworn_brother"
"只因我大<head>唐太宗</head>皇帝赐我做御弟三藏，指唐为姓，故名<tail>唐僧</tail>也。”","id_26","id_1",4120.0,"李世民","唐僧","elder_sworn_brother"
"<head>三藏</head>道：“<tail>悟空</tail>，你想有些耳闭？","id_1","id_6",4151.0,"唐僧","孙悟空","master"
