"marked","head_id","tail_id","id","head","tail","relation"
"<head>林冲</head>大喜，就当结义<tail>智深</tail>为兄。","id_12","id_20",2213.0,"林冲","鲁智深","friend"
"<head>林冲</head>大喜，就当结义<tail>智深</tail>为兄。","id_12","id_20",2213.0,"林冲","鲁智深","sworn"
"<tail>林冲</tail>大喜，就当结义<head>智深</head>为兄。","id_20","id_12",2213.0,"鲁智深","林冲","friend"
"<tail>林冲</tail>大喜，就当结义<head>智深</head>为兄。","id_20","id_12",2213.0,"鲁智深","林冲","sworn"
"<head>林冲</head>别了<tail>智深</tail>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把林冲的娘子拦着，道：“你且上楼去，和你说话。”","id_12","id_20",2224.0,"林冲","鲁智深","friend"
"<head>林冲</head>别了<tail>智深</tail>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把林冲的娘子拦着，道：“你且上楼去，和你说话。”","id_12","id_20",2224.0,"林冲","鲁智深","sworn"
"<tail>林冲</tail>别了<head>智深</head>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把林冲的娘子拦着，道：“你且上楼去，和你说话。”","id_20","id_12",2224.0,"鲁智深","林冲","friend"
"<tail>林冲</tail>别了<head>智深</head>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把林冲的娘子拦着，道：“你且上楼去，和你说话。”","id_20","id_12",2224.0,"鲁智深","林冲","sworn"
"林冲别了<head>智深</head>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把<tail>林冲</tail>的娘子拦着，道：“你且上楼去，和你说话。”","id_20","id_12",2224.0,"鲁智深","林冲","friend"
"林冲别了<head>智深</head>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把<tail>林冲</tail>的娘子拦着，道：“你且上楼去，和你说话。”","id_20","id_12",2224.0,"鲁智深","林冲","sworn"
"林冲别了<tail>智深</tail>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把<head>林冲</head>的娘子拦着，道：“你且上楼去，和你说话。”","id_12","id_20",2224.0,"林冲","鲁智深","friend"
"林冲别了<tail>智深</tail>，急跳过墙缺，和锦儿径奔岳庙里来；抢到五岳楼看时，见了数个人拿着弹弓，吹筒，粘竿，都立在栏干边，胡梯上一个年少的后生独自背立着，把<head>林冲</head>的娘子拦着，道：“你且上楼去，和你说话。”","id_12","id_20",2224.0,"林冲","鲁智深","sworn"
"<head>林冲</head>将引妻小并使女锦儿也转出廊下来，只见<tail>智深</tail>提着铁禅杖，引着那二三十个破落户，大踏步抢入庙来。","id_12","id_20",2242.0,"林冲","鲁智深","friend"
"<head>林冲</head>将引妻小并使女锦儿也转出廊下来，只见<tail>智深</tail>提着铁禅杖，引着那二三十个破落户，大踏步抢入庙来。","id_12","id_20",2242.0,"林冲","鲁智深","sworn"
"<tail>林冲</tail>将引妻小并使女锦儿也转出廊下来，只见<head>智深</head>提着铁禅杖，引着那二三十个破落户，大踏步抢入庙来。","id_20","id_12",2242.0,"鲁智深","林冲","friend"
"<tail>林冲</tail>将引妻小并使女锦儿也转出廊下来，只见<head>智深</head>提着铁禅杖，引着那二三十个破落户，大踏步抢入庙来。","id_20","id_12",2242.0,"鲁智深","林冲","sworn"
"<head>林冲</head>见<tail>智深</tail>醉了，便道： “师兄说得是；林冲一时被众劝了，权且饶他。”","id_12","id_20",2251.0,"林冲","鲁智深","friend"
"<head>林冲</head>见<tail>智深</tail>醉了，便道： “师兄说得是；林冲一时被众劝了，权且饶他。”","id_12","id_20",2251.0,"林冲","鲁智深","sworn"
"<tail>林冲</tail>见<head>智深</head>醉了，便道： “师兄说得是；林冲一时被众劝了，权且饶他。”","id_20","id_12",2251.0,"鲁智深","林冲","friend"
