"marked","head_id","tail_id","id","head","tail","relation"
"<tail>玄德</tail>遂以己志告之，<head>云长</head>大喜。","id_74","id_1",95.0,"关羽","刘备","younger_sworn_brother"
"<tail>玄德</tail>、<head>云长</head>齐声应曰：“如此甚好。”","id_74","id_1",98.0,"关羽","刘备","younger_sworn_brother"
"次日，于桃园中，备下乌牛白马祭礼等项，三人焚香再拜而说誓曰：“念<tail>刘备</tail>、<head>关羽</head>、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶。","id_74","id_1",99.0,"关羽","刘备","younger_sworn_brother"
"次日，于桃园中，备下乌牛白马祭礼等项，三人焚香再拜而说誓曰：“念<tail>刘备</tail>、关羽、<head>张飞</head>，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶。","id_78","id_1",99.0,"张飞","刘备","younger_sworn_brother"
"次日，于桃园中，备下乌牛白马祭礼等项，三人焚香再拜而说誓曰：“念刘备、<head>关羽</head>、<tail>张飞</tail>，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶。","id_74","id_78",99.0,"关羽","张飞","elder_sworn_brother"
"誓毕，拜<tail>玄德</tail>为兄，<head>关羽</head>次之，张飞为弟。","id_74","id_1",102.0,"关羽","刘备","younger_sworn_brother"
"誓毕，拜<tail>玄德</tail>为兄，关羽次之，<head>张飞</head>为弟。","id_78","id_1",102.0,"张飞","刘备","younger_sworn_brother"
"誓毕，拜玄德为兄，<head>关羽</head>次之，<tail>张飞</tail>为弟。","id_74","id_78",102.0,"关羽","张飞","elder_sworn_brother"
"当下两军相对，<tail>玄德</tail>出马，左有<head>云长</head>，右有翼德，扬鞭大骂：“反国逆贼，何不早降！”","id_74","id_1",124.0,"关羽","刘备","younger_sworn_brother"
"乃分<head>关公</head>引一千军伏山左，<tail>张飞</tail>引一千军伏山右，鸣金为号，齐出接应。","id_74","id_78",142.0,"关羽","张飞","elder_sworn_brother"
"<tail>玄德</tail>出，<head>张飞</head>大怒曰：“我等亲赴血战，救了这厮，他却如此无礼。","id_78","id_1",223.0,"张飞","刘备","younger_sworn_brother"
"当日怠慢了<tail>玄德</tail>，<head>张飞</head>性发，便欲杀之。","id_78","id_1",230.0,"张飞","刘备","younger_sworn_brother"
"<tail>玄德</tail>与<head>关公</head>急止之曰；“他是朝廷命官，岂可擅杀？”","id_74","id_1",231.0,"关羽","刘备","younger_sworn_brother"
"张宝遣副将高升出马搦战，<tail>玄德</tail>使<head>张飞</head>击之。","id_78","id_1",243.0,"张飞","刘备","younger_sworn_brother"
"<tail>玄德</tail>听令，拨<head>关公</head>、张飞各引军一千，伏于山后高冈之上，盛猪羊狗血并秽物准备。","id_74","id_1",251.0,"关羽","刘备","younger_sworn_brother"
"<tail>玄德</tail>听令，拨关公、<head>张飞</head>各引军一千，伏于山后高冈之上，盛猪羊狗血并秽物准备。","id_78","id_1",251.0,"张飞","刘备","younger_sworn_brother"
"玄德听令，拨<head>关公</head>、<tail>张飞</tail>各引军一千，伏于山后高冈之上，盛猪羊狗血并秽物准备。","id_74","id_78",251.0,"关羽","张飞","elder_sworn_brother"
"左<head>关公</head>，右<tail>张飞</tail>，两军都出，背后玄德、朱儁一齐赶上，贼兵大败。","id_74","id_78",258.0,"关羽","张飞","elder_sworn_brother"
"左<head>关公</head>，右张飞，两军都出，背后<tail>玄德</tail>、朱儁一齐赶上，贼兵大败。","id_74","id_1",258.0,"关羽","刘备","younger_sworn_brother"
"左关公，右<head>张飞</head>，两军都出，背后<tail>玄德</tail>、朱儁一齐赶上，贼兵大败。","id_78","id_1",258.0,"张飞","刘备","younger_sworn_brother"
"<tail>玄德</tail>终是仁慈的人，急喝<head>张飞</head>住手。","id_78","id_1",366.0,"张飞","刘备","younger_sworn_brother"
"<head>公孙瓒</head>又表陈<tail>玄德</tail>前功，荐为别部司马，守平原县令。","id_39","id_1",411.0,"公孙瓒","刘备","friend"
"<tail>公孙瓒</tail>又表陈<head>玄德</head>前功，荐为别部司马，守平原县令。","id_1","id_39",411.0,"刘备","公孙瓒","friend"
"于是<tail>袁绍</tail>、曹操各选精兵五百，命袁绍之弟<head>袁术</head>领之。","id_138","id_134",557.0,"袁术","袁绍","younger_brother"
"于是袁绍、曹操各选精兵五百，命<tail>袁绍</tail>之弟<head>袁术</head>领之。","id_138","id_134",557.0,"袁术","袁绍","younger_brother"
